,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
1,21-08-2021,20:45,Serie A,Giornata n. 1,Sab,Casa,P,1,3,Lazio,1.3,1.3,46,3.655,Simone Romagnoli,4-4-2◆,Simone Sozza,Report partita,
2,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Ospiti,V,1,0,Juventus,0.8,1.5,46,17.584,Leonardo Mancuso,4-4-2◆,Davide Ghersini,Report partita,
3,11-09-2021,15:00,Serie A,Giornata n. 3,Sab,Casa,P,1,2,Venezia,1.9,1.7,69,2.511,Leonardo Mancuso,4-4-2◆,Antonio Rapuano,Report partita,
4,19-09-2021,12:30,Serie A,Giornata n. 4,Dom,Casa,P,0,3,Sampdoria,1.6,1.8,53,3.064,Leonardo Mancuso,4-4-2◆,Maurizio Mariani,Report partita,
5,22-09-2021,20:45,Serie A,Giornata n. 5,Mer,Ospiti,V,2,0,Cagliari,1.1,1.1,51,7.226,Simone Romagnoli,4-4-2◆,Marco Di Bello,Report partita,
6,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Casa,V,4,2,Bologna,1.8,2.5,37,5.022,Simone Romagnoli,4-4-2◆,Piero Giacomelli,Report partita,
7,03-10-2021,18:00,Serie A,Giornata n. 7,Dom,Ospiti,P,0,2,Roma,0.6,1.3,36,31.946,Simone Romagnoli,4-4-2◆,Giovanni Ayroldi,Report partita,
8,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Casa,P,1,4,Atalanta,0.7,4.2,48,6.214,Simone Romagnoli,4-3-3,Marco Serra,Report partita,
9,23-10-2021,15:00,Serie A,Giornata n. 9,Sab,Ospiti,V,4,2,Salernitana,2.2,1.0,41,11.142,Filippo Bandinelli,4-4-2◆,Daniele Doveri,Report partita,
10,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Casa,P,0,2,Inter,0.6,2.0,31,9.335,Filippo Bandinelli,4-4-2◆,Daniele Chiffi,Report partita,
11,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Ospiti,V,2,1,Sassuolo,1.5,0.9,43,3.539,Filippo Bandinelli,4-4-2◆,Luca Massimi,Report partita,
12,05-11-2021,20:45,Serie A,Giornata n. 12,Ven,Casa,N,2,2,Genoa,0.8,1.7,53,5.631,Filippo Bandinelli,4-4-2◆,Luca Pairetto,Report partita,
13,22-11-2021,18:30,Serie A,Giornata n. 13,Lun,Ospiti,P,1,2,Hellas Verona,1.6,1.3,44,13.797,Simone Romagnoli,4-4-2◆,Matteo Gariglio,Report partita,
14,27-11-2021,15:00,Serie A,Giornata n. 14,Sab,Casa,V,2,1,Fiorentina,1.9,2.4,51,7.878,Lorenzo Tonelli,4-4-2◆,Juan Sacchi,Report partita,
15,02-12-2021,18:30,Serie A,Giornata n. 15,Gio,Ospiti,N,2,2,Torino,0.9,0.9,59,7.002,Simone Romagnoli,4-4-2◆,Andrea Colombo,Report partita,
16,06-12-2021,18:30,Serie A,Giornata n. 16,Lun,Casa,V,3,1,Udinese,2.4,2.1,57,4.808,Lorenzo Tonelli,4-4-2◆,Daniele Paterna,Report partita,
17,12-12-2021,18:00,Serie A,Giornata n. 17,Dom,Ospiti,V,1,0,Napoli,0.7,1.7,40,20.0,Leo Stulac,4-4-2◆,Livio Marinelli,Report partita,
19,19-12-2021,15:00,Serie A,Giornata n. 18,Dom,Ospiti,N,1,1,Spezia,1.8,0.6,66,5.414,Filippo Bandinelli,4-4-2◆,Manuel Volpi,Report partita,
20,22-12-2021,20:45,Serie A,Giornata n. 19,Mer,Casa,P,2,4,Milan,1.7,1.4,56,10.596,Simone Romagnoli,4-4-2◆,Marco Di Bello,Report partita,
21,06-01-2022,14:30,Serie A,Giornata n. 20,Gio,Ospiti,N,3,3,Lazio,2.0,2.5,38,23.0,Andrea La Mantia,4-4-2◆,Antonio Giua,Report partita,
22,09-01-2022,14:30,Serie A,Giornata n. 21,Dom,Casa,P,1,5,Sassuolo,1.4,4.1,45,4.081,Leo Stulac,4-4-2◆,Manuel Volpi,Report partita,
23,16-01-2022,15:00,Serie A,Giornata n. 22,Dom,Ospiti,N,1,1,Venezia,1.6,1.1,50,3.805,Filippo Bandinelli,4-3-2-1,Piero Giacomelli,Report partita,
25,23-01-2022,18:00,Serie A,Giornata n. 23,Dom,Casa,P,2,4,Roma,0.9,3.0,58,4.92,Filippo Bandinelli,4-3-2-1,Michael Fabbri,Report partita,
26,06-02-2022,15:00,Serie A,Giornata n. 24,Dom,Ospiti,N,0,0,Bologna,1.6,0.7,41,10.349,Simone Romagnoli,4-3-2-1,Cosso Cosso,Report partita,
27,13-02-2022,15:00,Serie A,Giornata n. 25,Dom,Casa,N,1,1,Cagliari,1.0,1.0,45,4.787,Simone Romagnoli,4-4-2◆,Federico Dionisi,Report partita,
28,19-02-2022,15:00,Serie A,Giornata n. 26,Sab,Ospiti,P,0,2,Sampdoria,0.8,0.5,58,9.069,Simone Romagnoli,4-4-2◆,Antonio Rapuano,Report partita,
29,26-02-2022,18:00,Serie A,Giornata n. 27,Sab,Casa,P,2,3,Juventus,1.3,2.1,53,11.89,Filippo Bandinelli,4-4-2◆,Fabio Maresca,Report partita,
30,06-03-2022,12:30,Serie A,Giornata n. 28,Dom,Ospiti,N,0,0,Genoa,0.3,1.1,48,14.935,Simone Romagnoli,4-3-3,Gianluca Aureliano,Report partita,
31,12-03-2022,20:45,Serie A,Giornata n. 29,Sab,Ospiti,P,0,1,Milan,0.2,0.7,48,48.801,Simone Romagnoli,4-3-2-1,Daniele Chiffi,Report partita,
32,20-03-2022,15:00,Serie A,Giornata n. 30,Dom,Casa,N,1,1,Hellas Verona,1.0,1.3,38,5.445,Simone Romagnoli,4-4-2◆,Matteo Marcenaro,Report partita,
33,03-04-2022,12:30,Serie A,Giornata n. 31,Dom,Ospiti,P,0,1,Fiorentina,0.1,1.5,39,22.407,Filippo Bandinelli,4-4-2◆,Luca Massimi,Report partita,
34,09-04-2022,15:00,Serie A,Giornata n. 32,Sab,Casa,N,0,0,Spezia,1.0,0.7,57,5.265,Simone Romagnoli,4-4-2◆,Giovanni Ayroldi,Report partita,
35,16-04-2022,14:30,Serie A,Giornata n. 33,Sab,Ospiti,P,1,4,Udinese,1.7,1.2,61,15.226,Andrea La Mantia,4-4-2◆,Matteo Marchetti,Report partita,
36,24-04-2022,15:00,Serie A,Giornata n. 34,Dom,Casa,V,3,2,Napoli,1.8,1.3,42,10.245,Filippo Bandinelli,4-4-2◆,Livio Marinelli,Report partita,
37,01-05-2022,15:00,Serie A,Giornata n. 35,Dom,Casa,P,1,3,Torino,0.7,2.4,39,8.416,Sebastiano Luperto,4-4-2◆,Cosso Cosso,Report partita,
38,06-05-2022,18:45,Serie A,Giornata n. 36,Ven,Ospiti,P,2,4,Inter,0.6,4.3,36,69.959,Simone Romagnoli,4-4-2◆,Gianluca Manganiello,Report partita,
39,14-05-2022,15:00,Serie A,Giornata n. 37,Sab,Casa,N,1,1,Salernitana,2.1,3.1,45,7.0,Simone Romagnoli,4-4-2◆,Davide Massa,Report partita,
40,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Ospiti,V,1,0,Atalanta,0.4,3.8,39,17.654,Filippo Bandinelli,4-4-2◆,Rosario Abisso,Report partita,
