,a_team,Data,Stadio,Risultato,a_goals,h_team,h_goals,a_total_shots,a_shots_on_target,a_goals_on_penalty,a_total_penalties,a_completed_passings,a_total_passings,a_corners,a_percentage_possession,a_fouls,a_yellow_cards,a_red_cards
34,Lazio,30-04-2022,Ospiti,V,4,Spezia,3,21.0,8.0,1,1,580.0,677.0,5.0,70.0,10.0,1,0
36,Lazio,16-05-2022,Ospiti,N,2,Juventus,2,18.0,7.0,0,0,555.0,627.0,9.0,63.0,17.0,3,0
0,Milan,23-08-2021,Ospiti,V,1,Sampdoria,0,11.0,4.0,0,0,349.0,442.0,3.0,51.0,15.0,1,0
3,Milan,19-09-2021,Ospiti,N,1,Juventus,1,13.0,3.0,0,0,459.0,528.0,4.0,56.0,16.0,1,0
5,Milan,25-09-2021,Ospiti,V,2,Spezia,1,18.0,5.0,0,0,461.0,557.0,4.0,64.0,12.0,2,0
6,Milan,03-10-2021,Ospiti,V,3,Atalanta,2,13.0,7.0,0,0,311.0,397.0,5.0,44.0,16.0,4,0
8,Milan,23-10-2021,Ospiti,V,4,Bologna,2,15.0,7.0,0,0,561.0,636.0,1.0,62.0,17.0,3,0
10,Milan,31-10-2021,Ospiti,V,2,Roma,1,7.0,2.0,1,1,357.0,431.0,2.0,50.0,14.0,7,1
12,Milan,20-11-2021,Ospiti,P,3,Fiorentina,4,16.0,6.0,0,0,452.0,542.0,6.0,55.0,13.0,1,0
14,Milan,01-12-2021,Ospiti,V,3,Genoa,0,18.0,5.0,0,0,518.0,604.0,6.0,58.0,16.0,1,0
16,Milan,11-12-2021,Ospiti,N,1,Udinese,1,12.0,1.0,0,0,572.0,687.0,5.0,66.0,11.0,2,0
18,Milan,22-12-2021,Ospiti,V,4,Empoli,2,18.0,8.0,0,0,324.0,409.0,3.0,44.0,16.0,2,0
20,Milan,09-01-2022,Ospiti,V,3,Venezia,0,17.0,6.0,1,1,584.0,670.0,7.0,62.0,15.0,3,0
23,Milan,05-02-2022,Ospiti,V,2,Inter,1,10.0,3.0,0,0,375.0,457.0,4.0,54.0,14.0,4,1
25,Milan,19-02-2022,Ospiti,N,2,Salernitana,2,13.0,5.0,0,0,430.0,532.0,7.0,60.0,13.0,4,0
27,Milan,06-03-2022,Ospiti,V,1,Napoli,0,12.0,7.0,0,0,310.0,392.0,7.0,40.0,20.0,4,0
29,Milan,19-03-2022,Ospiti,V,1,Cagliari,0,21.0,5.0,0,0,397.0,494.0,5.0,57.0,16.0,0,0
31,Milan,10-04-2022,Ospiti,N,0,Torino,0,14.0,4.0,0,0,365.0,472.0,5.0,57.0,8.0,2,0
33,Milan,24-04-2022,Ospiti,V,2,Lazio,1,25.0,8.0,0,0,389.0,501.0,8.0,53.0,16.0,4,0
35,Milan,08-05-2022,Ospiti,V,3,Hellas Verona,1,18.0,8.0,0,0,355.0,450.0,8.0,53.0,7.0,1,0
37,Milan,22-05-2022,Ospiti,V,3,Sassuolo,0,18.0,11.0,0,0,311.0,387.0,7.0,48.0,15.0,1,0
1,Napoli,29-08-2021,Ospiti,V,2,Genoa,1,13.0,8.0,0,0,532.0,622.0,5.0,61.0,18.0,3,0
3,Napoli,20-09-2021,Ospiti,V,4,Udinese,0,18.0,8.0,0,0,618.0,683.0,5.0,63.0,12.0,1,0
4,Napoli,23-09-2021,Ospiti,V,4,Sampdoria,0,17.0,9.0,0,0,481.0,552.0,5.0,52.0,8.0,1,0
6,Napoli,03-10-2021,Ospiti,V,2,Fiorentina,1,11.0,4.0,0,1,344.0,418.0,2.0,45.0,13.0,3,0
8,Napoli,24-10-2021,Ospiti,N,0,Roma,0,11.0,2.0,0,0,485.0,568.0,4.0,62.0,10.0,1,0
10,Napoli,31-10-2021,Ospiti,V,1,Salernitana,0,18.0,4.0,0,0,482.0,561.0,4.0,62.0,13.0,2,1
12,Napoli,21-11-2021,Ospiti,P,2,Inter,3,9.0,3.0,0,0,431.0,517.0,1.0,56.0,19.0,3,0
14,Napoli,01-12-2021,Ospiti,N,2,Sassuolo,2,9.0,4.0,0,0,413.0,502.0,4.0,50.0,20.0,2,0
17,Napoli,19-12-2021,Ospiti,V,1,Milan,0,11.0,2.0,0,0,448.0,552.0,5.0,52.0,21.0,2,0
19,Napoli,06-01-2022,Ospiti,N,1,Juventus,1,16.0,4.0,0,0,544.0,627.0,3.0,56.0,12.0,1,0
21,Napoli,17-01-2022,Ospiti,V,2,Bologna,0,14.0,5.0,0,0,579.0,678.0,4.0,61.0,11.0,1,0
23,Napoli,06-02-2022,Ospiti,V,2,Venezia,0,16.0,6.0,0,0,672.0,780.0,6.0,66.0,11.0,2,0
25,Napoli,21-02-2022,Ospiti,N,1,Cagliari,1,7.0,3.0,0,0,363.0,494.0,5.0,54.0,22.0,2,0
26,Napoli,27-02-2022,Ospiti,V,2,Lazio,1,14.0,7.0,0,0,601.0,690.0,5.0,55.0,17.0,2,0
28,Napoli,13-03-2022,Ospiti,V,2,Hellas Verona,1,13.0,4.0,0,0,375.0,485.0,5.0,51.0,9.0,0,0
30,Napoli,03-04-2022,Ospiti,V,3,Atalanta,1,5.0,4.0,1,1,368.0,473.0,1.0,45.0,12.0,3,0
33,Napoli,24-04-2022,Ospiti,P,2,Empoli,3,16.0,2.0,0,0,451.0,557.0,7.0,58.0,10.0,1,0
35,Napoli,07-05-2022,Ospiti,V,1,Torino,0,10.0,4.0,0,1,429.0,504.0,4.0,57.0,12.0,3,0
37,Napoli,22-05-2022,Ospiti,V,3,Spezia,0,10.0,4.0,0,0,641.0,722.0,2.0,68.0,9.0,2,0
1,Roma,29-08-2021,Ospiti,V,4,Salernitana,0,28.0,9.0,0,0,664.0,752.0,10.0,77.0,11.0,2,0
3,Roma,19-09-2021,Ospiti,P,2,Hellas Verona,3,15.0,2.0,0,0,294.0,410.0,8.0,47.0,17.0,2,0
5,Roma,26-09-2021,Ospiti,P,2,Lazio,3,19.0,6.0,1,1,409.0,481.0,9.0,50.0,14.0,4,0
7,Roma,17-10-2021,Ospiti,P,0,Juventus,1,14.0,3.0,0,1,470.0,561.0,6.0,53.0,15.0,5,0
9,Roma,27-10-2021,Ospiti,V,2,Cagliari,1,23.0,3.0,0,0,402.0,488.0,10.0,58.0,19.0,4,0
11,Roma,07-11-2021,Ospiti,P,2,Venezia,3,28.0,8.0,0,0,430.0,535.0,11.0,61.0,19.0,2,0
12,Roma,21-11-2021,Ospiti,V,2,Genoa,0,18.0,3.0,0,0,515.0,609.0,7.0,59.0,15.0,2,0
14,Roma,01-12-2021,Ospiti,P,0,Bologna,1,13.0,5.0,0,0,478.0,571.0,3.0,58.0,18.0,4,0
17,Roma,18-12-2021,Ospiti,V,4,Atalanta,1,8.0,5.0,0,0,222.0,294.0,0.0,29.0,18.0,3,0
19,Roma,06-01-2022,Ospiti,P,1,Milan,3,11.0,5.0,0,0,274.0,364.0,9.0,45.0,20.0,7,2
22,Roma,23-01-2022,Ospiti,V,4,Empoli,2,16.0,7.0,0,0,306.0,395.0,3.0,42.0,17.0,2,0
24,Roma,13-02-2022,Ospiti,N,2,Sassuolo,2,12.0,7.0,1,1,397.0,503.0,3.0,54.0,16.0,2,0
26,Roma,27-02-2022,Ospiti,V,1,Spezia,0,30.0,7.0,1,1,560.0,655.0,8.0,64.0,11.0,3,0
28,Roma,13-03-2022,Ospiti,N,1,Udinese,1,9.0,2.0,1,1,534.0,619.0,4.0,63.0,14.0,2,0
30,Roma,03-04-2022,Ospiti,V,1,Sampdoria,0,6.0,1.0,0,0,414.0,510.0,4.0,51.0,15.0,3,0
32,Roma,18-04-2022,Ospiti,N,1,Napoli,1,8.0,6.0,0,0,381.0,470.0,5.0,51.0,16.0,2,1
33,Roma,23-04-2022,Ospiti,P,1,Inter,3,9.0,2.0,0,0,517.0,595.0,3.0,55.0,13.0,2,0
35,Roma,09-05-2022,Ospiti,P,0,Fiorentina,2,7.0,1.0,0,0,407.0,492.0,3.0,47.0,15.0,1,0
37,Roma,20-05-2022,Ospiti,V,3,Torino,0,11.0,4.0,2,2,296.0,374.0,6.0,42.0,13.0,2,0
0,Salernitana,22-08-2021,Ospiti,P,2,Bologna,3,9.0,3.0,1,1,130.0,233.0,4.0,28.0,14.0,3,1
2,Salernitana,12-09-2021,Ospiti,P,0,Torino,4,8.0,2.0,0,0,263.0,367.0,4.0,40.0,11.0,2,0
5,Salernitana,26-09-2021,Ospiti,P,0,Sassuolo,1,12.0,4.0,0,0,277.0,371.0,8.0,43.0,18.0,3,0
7,Salernitana,16-10-2021,Ospiti,P,1,Spezia,2,15.0,4.0,0,0,244.0,352.0,2.0,41.0,17.0,3,0
9,Salernitana,26-10-2021,Ospiti,V,2,Venezia,1,21.0,7.0,0,0,440.0,535.0,5.0,55.0,16.0,3,0
11,Salernitana,07-11-2021,Ospiti,P,0,Lazio,3,5.0,0.0,0,0,404.0,476.0,1.0,40.0,14.0,2,0
13,Salernitana,26-11-2021,Ospiti,N,1,Cagliari,1,8.0,2.0,0,0,273.0,374.0,6.0,43.0,10.0,1,0
15,Salernitana,04-12-2021,Ospiti,P,0,Milan,2,7.0,2.0,0,0,236.0,317.0,5.0,30.0,11.0,2,0
16,Salernitana,11-12-2021,Ospiti,P,0,Fiorentina,4,11.0,6.0,0,0,251.0,336.0,3.0,30.0,12.0,1,0
18,Salernitana,09-01-2022,Ospiti,V,2,Hellas Verona,1,8.0,4.0,1,1,157.0,258.0,4.0,30.0,12.0,3,0
20,Salernitana,23-01-2022,Ospiti,P,1,Napoli,4,1.0,1.0,0,0,145.0,223.0,0.0,19.0,14.0,4,1
22,Salernitana,13-02-2022,Ospiti,N,1,Genoa,1,12.0,4.0,0,0,277.0,396.0,4.0,51.0,11.0,2,0
25,Salernitana,04-03-2022,Ospiti,P,0,Inter,5,11.0,3.0,0,0,322.0,384.0,3.0,40.0,8.0,1,0
27,Salernitana,20-03-2022,Ospiti,P,0,Juventus,2,12.0,4.0,0,0,364.0,440.0,5.0,44.0,13.0,2,0
29,Salernitana,10-04-2022,Ospiti,P,1,Roma,2,6.0,3.0,0,0,203.0,284.0,2.0,34.0,25.0,8,0
30,Salernitana,16-04-2022,Ospiti,V,2,Sampdoria,1,7.0,2.0,0,0,230.0,319.0,2.0,33.0,25.0,7,0
31,Salernitana,20-04-2022,Ospiti,V,1,Udinese,0,9.0,2.0,0,0,275.0,374.0,3.0,46.0,14.0,5,0
33,Salernitana,02-05-2022,Ospiti,N,1,Atalanta,1,11.0,9.0,0,0,272.0,375.0,4.0,39.0,11.0,2,0
36,Salernitana,14-05-2022,Ospiti,N,1,Empoli,1,28.0,8.0,0,1,375.0,471.0,11.0,55.0,9.0,2,0
1,Sampdoria,29-08-2021,Ospiti,N,0,Sassuolo,0,11.0,2.0,0,0,261.0,371.0,6.0,37.0,17.0,2,0
3,Sampdoria,19-09-2021,Ospiti,V,3,Empoli,0,14.0,8.0,0,0,294.0,400.0,8.0,47.0,15.0,2,0
5,Sampdoria,26-09-2021,Ospiti,P,2,Juventus,3,6.0,3.0,0,0,391.0,487.0,2.0,50.0,18.0,3,0
7,Sampdoria,17-10-2021,Ospiti,P,1,Cagliari,3,17.0,3.0,0,0,391.0,507.0,9.0,61.0,18.0,2,0
10,Sampdoria,30-10-2021,Ospiti,P,0,Torino,3,5.0,1.0,0,0,238.0,359.0,5.0,37.0,10.0,4,1
12,Sampdoria,21-11-2021,Ospiti,V,2,Salernitana,0,13.0,6.0,0,0,301.0,405.0,3.0,45.0,22.0,3,0
14,Sampdoria,30-11-2021,Ospiti,P,1,Fiorentina,3,11.0,4.0,0,0,311.0,411.0,6.0,40.0,17.0,3,0
16,Sampdoria,10-12-2021,Ospiti,V,3,Genoa,1,14.0,5.0,0,0,284.0,423.0,3.0,46.0,18.0,2,0
18,Sampdoria,22-12-2021,Ospiti,N,1,Roma,1,9.0,2.0,0,0,389.0,493.0,2.0,46.0,10.0,3,0
20,Sampdoria,09-01-2022,Ospiti,P,0,Napoli,1,11.0,1.0,0,0,272.0,346.0,0.0,31.0,12.0,2,0
22,Sampdoria,23-01-2022,Ospiti,P,0,Spezia,1,8.0,0.0,0,0,439.0,557.0,4.0,60.0,11.0,4,1
24,Sampdoria,13-02-2022,Ospiti,P,0,Milan,1,4.0,1.0,0,0,410.0,505.0,0.0,50.0,14.0,1,0
26,Sampdoria,28-02-2022,Ospiti,P,0,Atalanta,4,6.0,1.0,0,0,407.0,514.0,1.0,44.0,8.0,2,0
27,Sampdoria,05-03-2022,Ospiti,P,1,Udinese,2,8.0,3.0,0,0,413.0,535.0,4.0,57.0,15.0,2,0
29,Sampdoria,20-03-2022,Ospiti,V,2,Venezia,0,8.0,4.0,0,0,348.0,457.0,4.0,53.0,24.0,1,0
31,Sampdoria,11-04-2022,Ospiti,P,0,Bologna,2,9.0,2.0,0,0,403.0,495.0,0.0,47.0,12.0,2,0
33,Sampdoria,23-04-2022,Ospiti,N,1,Hellas Verona,1,3.0,2.0,0,1,271.0,394.0,5.0,43.0,16.0,3,0
35,Sampdoria,07-05-2022,Ospiti,P,0,Lazio,2,9.0,2.0,0,0,411.0,515.0,0.0,40.0,10.0,1,0
37,Sampdoria,22-05-2022,Ospiti,P,0,Inter,3,8.0,3.0,0,0,445.0,498.0,2.0,42.0,13.0,2,0
0,Sassuolo,21-08-2021,Ospiti,V,3,Hellas Verona,2,18.0,7.0,0,0,481.0,540.0,4.0,60.0,15.0,2,0
2,Sassuolo,12-09-2021,Ospiti,P,1,Roma,2,14.0,7.0,0,0,438.0,508.0,6.0,51.0,11.0,1,0
4,Sassuolo,21-09-2021,Ospiti,P,1,Atalanta,2,8.0,1.0,0,0,431.0,542.0,5.0,53.0,18.0,2,0
7,Sassuolo,17-10-2021,Ospiti,N,2,Genoa,2,15.0,5.0,0,0,439.0,517.0,1.0,57.0,22.0,4,0
9,Sassuolo,27-10-2021,Ospiti,V,2,Juventus,1,8.0,4.0,0,0,346.0,426.0,4.0,43.0,18.0,5,0
11,Sassuolo,07-11-2021,Ospiti,P,2,Udinese,3,10.0,4.0,0,0,513.0,616.0,5.0,62.0,15.0,3,0
13,Sassuolo,28-11-2021,Ospiti,V,3,Milan,1,15.0,5.0,0,0,367.0,458.0,6.0,50.0,8.0,2,0
15,Sassuolo,05-12-2021,Ospiti,N,2,Spezia,2,20.0,5.0,0,0,566.0,649.0,5.0,65.0,10.0,3,0
17,Sassuolo,19-12-2021,Ospiti,N,2,Fiorentina,2,8.0,4.0,0,0,343.0,425.0,3.0,43.0,18.0,5,0
20,Sassuolo,09-01-2022,Ospiti,V,5,Empoli,1,24.0,12.0,1,1,501.0,584.0,5.0,55.0,17.0,3,0
22,Sassuolo,23-01-2022,Ospiti,N,1,Torino,1,6.0,1.0,0,0,335.0,442.0,3.0,50.0,18.0,3,0
23,Sassuolo,06-02-2022,Ospiti,P,0,Sampdoria,4,25.0,9.0,0,0,450.0,533.0,9.0,60.0,15.0,2,0
25,Sassuolo,20-02-2022,Ospiti,V,2,Inter,0,13.0,5.0,0,0,367.0,447.0,3.0,42.0,14.0,2,0
27,Sassuolo,06-03-2022,Ospiti,V,4,Venezia,1,13.0,7.0,3,3,433.0,520.0,6.0,55.0,15.0,1,0
28,Sassuolo,12-03-2022,Ospiti,N,2,Salernitana,2,20.0,7.0,0,0,455.0,527.0,5.0,53.0,16.0,4,1
30,Sassuolo,02-04-2022,Ospiti,P,1,Lazio,2,20.0,5.0,0,0,494.0,554.0,3.0,46.0,8.0,3,0
32,Sassuolo,16-04-2022,Ospiti,P,0,Cagliari,1,8.0,2.0,0,0,444.0,563.0,3.0,63.0,11.0,2,0
34,Sassuolo,30-04-2022,Ospiti,P,1,Napoli,6,13.0,4.0,0,0,445.0,507.0,3.0,47.0,11.0,3,0
36,Sassuolo,15-05-2022,Ospiti,V,3,Bologna,1,16.0,7.0,0,0,325.0,405.0,9.0,45.0,11.0,1,0
0,Spezia,23-08-2021,Ospiti,N,2,Cagliari,2,12.0,4.0,0,0,275.0,356.0,4.0,41.0,18.0,3,0
1,Spezia,28-08-2021,Ospiti,P,1,Lazio,6,5.0,2.0,0,0,376.0,455.0,2.0,39.0,10.0,2,1
3,Spezia,19-09-2021,Ospiti,V,2,Venezia,1,12.0,3.0,0,0,403.0,522.0,10.0,55.0,11.0,1,0
6,Spezia,03-10-2021,Ospiti,P,0,Hellas Verona,4,12.0,4.0,0,0,444.0,525.0,5.0,55.0,12.0,1,1
8,Spezia,22-10-2021,Ospiti,P,1,Sampdoria,2,17.0,7.0,0,0,571.0,700.0,8.0,70.0,9.0,1,0
10,Spezia,31-10-2021,Ospiti,P,0,Fiorentina,3,3.0,0.0,0,0,334.0,403.0,4.0,45.0,23.0,3,0
12,Spezia,20-11-2021,Ospiti,P,2,Atalanta,5,10.0,5.0,0,0,417.0,519.0,6.0,50.0,13.0,3,0
14,Spezia,01-12-2021,Ospiti,P,0,Inter,2,7.0,4.0,0,0,334.0,411.0,1.0,37.0,14.0,2,0
16,Spezia,13-12-2021,Ospiti,P,0,Roma,2,8.0,2.0,0,0,411.0,505.0,4.0,48.0,8.0,1,0
18,Spezia,22-12-2021,Ospiti,V,1,Napoli,0,8.0,0.0,0,0,261.0,355.0,5.0,35.0,13.0,3,0
20,Spezia,09-01-2022,Ospiti,V,1,Genoa,0,17.0,9.0,0,0,354.0,467.0,4.0,46.0,17.0,3,0
21,Spezia,17-01-2022,Ospiti,V,2,Milan,1,10.0,6.0,0,0,274.0,367.0,1.0,40.0,18.0,5,0
23,Spezia,07-02-2022,Ospiti,N,2,Salernitana,2,11.0,0.0,2,2,299.0,396.0,6.0,44.0,22.0,3,0
25,Spezia,21-02-2022,Ospiti,P,1,Bologna,2,6.0,2.0,0,0,263.0,360.0,0.0,39.0,16.0,1,0
27,Spezia,06-03-2022,Ospiti,P,0,Juventus,1,9.0,4.0,0,0,392.0,475.0,4.0,44.0,13.0,1,0
29,Spezia,18-03-2022,Ospiti,P,1,Sassuolo,4,6.0,1.0,0,0,333.0,426.0,2.0,42.0,18.0,3,0
31,Spezia,09-04-2022,Ospiti,N,0,Empoli,0,11.0,4.0,0,0,251.0,357.0,4.0,43.0,21.0,2,0
33,Spezia,23-04-2022,Ospiti,P,1,Torino,2,6.0,1.0,1,1,323.0,443.0,6.0,45.0,17.0,2,0
36,Spezia,14-05-2022,Ospiti,V,3,Udinese,2,10.0,7.0,0,1,244.0,358.0,2.0,39.0,11.0,2,0
1,Torino,28-08-2021,Ospiti,P,1,Fiorentina,2,5.0,1.0,0,0,236.0,325.0,3.0,41.0,30.0,5,0
3,Torino,17-09-2021,Ospiti,V,1,Sassuolo,0,18.0,3.0,0,0,361.0,445.0,3.0,48.0,24.0,4,0
5,Torino,27-09-2021,Ospiti,N,1,Venezia,1,8.0,3.0,0,0,417.0,521.0,1.0,56.0,20.0,4,1
7,Torino,17-10-2021,Ospiti,P,0,Napoli,1,11.0,3.0,0,0,306.0,418.0,4.0,49.0,25.0,4,0
9,Torino,26-10-2021,Ospiti,P,0,Milan,1,13.0,2.0,0,0,415.0,519.0,5.0,56.0,22.0,3,0
11,Torino,06-11-2021,Ospiti,P,0,Spezia,1,10.0,1.0,0,0,420.0,522.0,3.0,59.0,19.0,3,0
13,Torino,28-11-2021,Ospiti,P,0,Roma,1,18.0,3.0,0,0,540.0,648.0,9.0,68.0,11.0,1,0
15,Torino,06-12-2021,Ospiti,N,1,Cagliari,1,8.0,3.0,0,0,285.0,408.0,2.0,48.0,28.0,4,0
18,Torino,22-12-2021,Ospiti,P,0,Inter,1,12.0,3.0,0,0,342.0,454.0,4.0,46.0,19.0,0,0
20,Torino,15-01-2022,Ospiti,V,2,Sampdoria,1,20.0,12.0,0,0,448.0,571.0,10.0,63.0,14.0,2,0
22,Torino,06-02-2022,Ospiti,P,0,Udinese,2,5.0,1.0,0,0,356.0,479.0,3.0,58.0,22.0,5,1
24,Torino,18-02-2022,Ospiti,N,1,Juventus,1,10.0,3.0,0,0,391.0,489.0,9.0,54.0,20.0,2,0
26,Torino,06-03-2022,Ospiti,N,0,Bologna,0,13.0,2.0,0,0,250.0,357.0,7.0,48.0,16.0,3,0
28,Torino,18-03-2022,Ospiti,P,0,Genoa,1,9.0,3.0,0,0,605.0,692.0,3.0,74.0,19.0,3,0
29,Torino,02-04-2022,Ospiti,V,1,Salernitana,0,7.0,4.0,1,1,269.0,368.0,2.0,47.0,29.0,4,0
31,Torino,16-04-2022,Ospiti,N,1,Lazio,1,12.0,4.0,0,0,483.0,553.0,7.0,52.0,12.0,2,0
33,Torino,27-04-2022,Ospiti,N,4,Atalanta,4,3.0,2.0,2,2,376.0,472.0,0.0,51.0,13.0,2,0
34,Torino,01-05-2022,Ospiti,V,3,Empoli,1,11.0,1.0,2,2,394.0,493.0,4.0,61.0,12.0,2,0
36,Torino,14-05-2022,Ospiti,V,1,Hellas Verona,0,11.0,5.0,0,0,336.0,437.0,4.0,54.0,20.0,2,0
2,Udinese,12-09-2021,Ospiti,V,1,Spezia,0,9.0,4.0,0,0,332.0,405.0,5.0,44.0,18.0,2,0
4,Udinese,23-09-2021,Ospiti,P,0,Roma,1,8.0,2.0,0,0,421.0,511.0,6.0,48.0,8.0,1,0
6,Udinese,03-10-2021,Ospiti,N,3,Sampdoria,3,18.0,7.0,0,0,294.0,382.0,8.0,46.0,19.0,5,0
8,Udinese,24-10-2021,Ospiti,N,1,Atalanta,1,9.0,3.0,0,0,239.0,333.0,3.0,33.0,17.0,2,0
10,Udinese,31-10-2021,Ospiti,P,0,Inter,2,9.0,5.0,0,0,267.0,350.0,4.0,34.0,16.0,2,0
12,Udinese,22-11-2021,Ospiti,P,1,Torino,2,18.0,7.0,0,0,351.0,461.0,7.0,49.0,21.0,3,0
14,Udinese,02-12-2021,Ospiti,N,4,Lazio,4,13.0,5.0,0,0,299.0,374.0,4.0,38.0,12.0,5,2
15,Udinese,06-12-2021,Ospiti,P,1,Empoli,3,19.0,8.0,0,0,319.0,411.0,6.0,43.0,20.0,3,0
17,Udinese,18-12-2021,Ospiti,V,4,Cagliari,0,10.0,5.0,0,0,355.0,448.0,2.0,45.0,15.0,2,0
19,Udinese,15-01-2022,Ospiti,P,0,Juventus,2,16.0,3.0,0,0,296.0,371.0,6.0,34.0,10.0,2,0
20,Udinese,22-01-2022,Ospiti,N,0,Genoa,0,2.0,0.0,0,0,205.0,351.0,4.0,48.0,18.0,4,0
22,Udinese,13-02-2022,Ospiti,P,0,Hellas Verona,4,21.0,6.0,0,0,354.0,487.0,7.0,56.0,8.0,1,0
24,Udinese,25-02-2022,Ospiti,N,1,Milan,1,11.0,6.0,0,0,247.0,328.0,4.0,38.0,19.0,4,0
27,Udinese,19-03-2022,Ospiti,P,1,Napoli,2,10.0,3.0,0,0,264.0,354.0,4.0,36.0,13.0,2,1
29,Udinese,10-04-2022,Ospiti,V,2,Venezia,1,15.0,4.0,1,1,261.0,367.0,11.0,48.0,14.0,2,0
32,Udinese,24-04-2022,Ospiti,N,2,Bologna,2,17.0,5.0,0,0,306.0,392.0,4.0,45.0,23.0,2,0
33,Udinese,27-04-2022,Ospiti,V,4,Fiorentina,0,17.0,8.0,0,0,146.0,229.0,2.0,28.0,25.0,4,0
35,Udinese,07-05-2022,Ospiti,N,1,Sassuolo,1,13.0,6.0,0,0,308.0,393.0,9.0,41.0,18.0,2,0
37,Udinese,22-05-2022,Ospiti,V,4,Salernitana,0,18.0,10.0,0,1,395.0,481.0,1.0,48.0,15.0,1,0
0,Venezia,22-08-2021,Ospiti,P,0,Napoli,2,8.0,4.0,0,0,395.0,454.0,2.0,44.0,23.0,7,0
1,Venezia,27-08-2021,Ospiti,P,0,Udinese,3,11.0,3.0,0,0,473.0,556.0,2.0,55.0,9.0,3,0
2,Venezia,11-09-2021,Ospiti,V,2,Empoli,1,10.0,3.0,0,0,199.0,275.0,2.0,31.0,25.0,5,0
4,Venezia,22-09-2021,Ospiti,P,0,Milan,2,8.0,2.0,0,0,257.0,340.0,4.0,33.0,14.0,2,0
6,Venezia,01-10-2021,Ospiti,N,1,Cagliari,1,12.0,4.0,0,0,455.0,548.0,4.0,58.0,20.0,5,0
8,Venezia,23-10-2021,Ospiti,P,1,Sassuolo,3,7.0,1.0,0,0,304.0,388.0,4.0,37.0,17.0,2,0
10,Venezia,31-10-2021,Ospiti,N,0,Genoa,0,6.0,2.0,0,0,235.0,328.0,4.0,38.0,16.0,3,0
12,Venezia,21-11-2021,Ospiti,V,1,Bologna,0,8.0,6.0,0,0,282.0,353.0,0.0,33.0,11.0,3,0
14,Venezia,30-11-2021,Ospiti,P,0,Atalanta,4,8.0,4.0,0,0,372.0,461.0,2.0,42.0,12.0,1,0
17,Venezia,19-12-2021,Ospiti,N,1,Sampdoria,1,12.0,1.0,0,0,339.0,448.0,3.0,50.0,20.0,1,0
21,Venezia,22-01-2022,Ospiti,P,1,Inter,2,3.0,3.0,0,0,219.0,311.0,0.0,29.0,10.0,4,0
23,Venezia,12-02-2022,Ospiti,V,2,Torino,1,6.0,2.0,0,0,151.0,258.0,4.0,33.0,13.0,3,1
25,Venezia,27-02-2022,Ospiti,P,1,Hellas Verona,3,9.0,3.0,0,0,249.0,389.0,5.0,43.0,14.0,1,0
27,Venezia,14-03-2022,Ospiti,P,0,Lazio,1,7.0,2.0,0,0,315.0,387.0,4.0,34.0,13.0,1,0
29,Venezia,02-04-2022,Ospiti,P,0,Spezia,1,15.0,3.0,0,0,310.0,405.0,2.0,47.0,14.0,1,0
31,Venezia,16-04-2022,Ospiti,P,0,Fiorentina,1,3.0,1.0,0,0,200.0,280.0,0.0,31.0,19.0,4,0
33,Venezia,01-05-2022,Ospiti,P,1,Juventus,2,9.0,3.0,0,0,373.0,459.0,4.0,50.0,14.0,3,0
34,Venezia,05-05-2022,Ospiti,P,1,Salernitana,2,10.0,4.0,0,0,355.0,465.0,4.0,58.0,20.0,7,1
36,Venezia,14-05-2022,Ospiti,N,1,Roma,1,4.0,2.0,0,0,198.0,291.0,2.0,32.0,15.0,5,1
