,h_team,Risultato,h_goals,a_team,a_goals,h_total_shots,h_shots_on_target,h_goals_on_penalty,h_total_penalties,h_completed_passings,h_total_passings,h_corners,h_percentage_possession,h_fouls,h_yellow_cards,h_red_cards,a_total_shots,a_shots_on_target,a_goals_on_penalty,a_total_penalties,a_corners,a_yellow_cards,a_red_cards,a_fouls,a_completed_passings,a_total_passings,a_percentage_possession
0,Hellas Verona,P,2,Sassuolo,3,14.0,3.0,1,1,282.0,361.0,7.0,40.0,10.0,3,1,18.0,7.0,0,0,4.0,2,0,15.0,481.0,540.0,60.0
0,Inter,V,4,Genoa,0,17.0,8.0,0,0,563.0,630.0,8.0,59.0,18.0,1,0,10.0,4.0,0,0,2.0,2,0,7.0,365.0,430.0,41.0
0,Torino,P,1,Atalanta,2,21.0,7.0,0,0,304.0,413.0,5.0,47.0,17.0,2,0,7.0,2.0,0,0,1.0,2,0,14.0,328.0,462.0,53.0
0,Empoli,P,1,Lazio,3,17.0,4.0,0,0,410.0,496.0,5.0,46.0,15.0,2,0,7.0,3.0,1,1,3.0,1,0,10.0,517.0,589.0,54.0
0,Udinese,N,2,Juventus,2,11.0,5.0,1,1,363.0,433.0,3.0,44.0,14.0,1,0,10.0,3.0,0,0,3.0,3,0,16.0,480.0,551.0,56.0
0,Napoli,V,2,Venezia,0,11.0,3.0,1,2,520.0,586.0,2.0,56.0,4.0,1,1,8.0,4.0,0,0,2.0,7,0,23.0,395.0,454.0,44.0
0,Bologna,V,3,Salernitana,2,18.0,7.0,0,0,485.0,588.0,9.0,72.0,11.0,6,2,9.0,3.0,1,1,4.0,3,1,14.0,130.0,233.0,28.0
0,Roma,V,3,Fiorentina,1,11.0,6.0,0,0,334.0,407.0,4.0,42.0,13.0,3,1,11.0,8.0,0,0,4.0,2,1,14.0,498.0,564.0,58.0
0,Sampdoria,P,0,Milan,1,16.0,3.0,0,0,334.0,432.0,8.0,49.0,20.0,3,0,11.0,4.0,0,0,3.0,1,0,15.0,349.0,442.0,51.0
0,Cagliari,N,2,Spezia,2,19.0,6.0,1,1,409.0,519.0,11.0,59.0,17.0,2,0,12.0,4.0,0,0,4.0,3,0,18.0,275.0,356.0,41.0
0,Hellas Verona,P,1,Inter,3,8.0,1.0,0,0,280.0,367.0,6.0,43.0,13.0,2,0,16.0,8.0,0,0,4.0,2,0,11.0,388.0,492.0,57.0
0,Udinese,V,3,Venezia,0,21.0,10.0,0,0,369.0,464.0,7.0,45.0,13.0,2,0,11.0,3.0,0,0,2.0,3,0,9.0,473.0,556.0,55.0
0,Juventus,P,0,Empoli,1,19.0,5.0,0,0,377.0,461.0,8.0,54.0,15.0,2,0,12.0,3.0,0,0,9.0,3,0,8.0,292.0,397.0,46.0
0,Lazio,V,6,Spezia,1,17.0,9.0,0,1,654.0,717.0,4.0,61.0,13.0,0,0,5.0,2.0,0,0,2.0,2,1,10.0,376.0,455.0,39.0
0,Atalanta,N,0,Bologna,0,22.0,3.0,0,0,484.0,598.0,5.0,59.0,12.0,2,0,4.0,1.0,0,0,5.0,5,0,16.0,297.0,421.0,41.0
0,Fiorentina,V,2,Torino,1,9.0,6.0,0,0,363.0,460.0,3.0,59.0,14.0,4,0,5.0,1.0,0,0,3.0,5,0,30.0,236.0,325.0,41.0
0,Sassuolo,N,0,Sampdoria,0,19.0,5.0,0,0,529.0,627.0,8.0,63.0,9.0,2,0,11.0,2.0,0,0,6.0,2,0,17.0,261.0,371.0,37.0
0,Genoa,P,1,Napoli,2,6.0,3.0,0,0,310.0,400.0,4.0,39.0,20.0,2,0,13.0,8.0,0,0,5.0,3,0,18.0,532.0,622.0,61.0
0,Milan,V,4,Cagliari,1,17.0,4.0,1,1,495.0,562.0,8.0,57.0,15.0,1,0,7.0,2.0,0,0,3.0,5,0,12.0,359.0,423.0,43.0
0,Salernitana,P,0,Roma,4,5.0,0.0,0,0,114.0,219.0,1.0,23.0,14.0,2,0,28.0,9.0,0,0,10.0,2,0,11.0,664.0,752.0,77.0
0,Atalanta,P,1,Fiorentina,2,12.0,4.0,1,1,463.0,555.0,10.0,55.0,13.0,4,0,5.0,0.0,2,2,3.0,4,0,21.0,374.0,454.0,45.0
0,Empoli,P,1,Venezia,2,21.0,5.0,1,1,499.0,607.0,8.0,69.0,13.0,2,0,10.0,3.0,0,0,2.0,5,0,25.0,199.0,275.0,31.0
0,Napoli,V,2,Juventus,1,25.0,7.0,0,0,585.0,666.0,13.0,67.0,15.0,2,0,8.0,4.0,0,0,1.0,1,0,16.0,264.0,330.0,33.0
0,Cagliari,P,2,Genoa,3,8.0,2.0,1,1,435.0,534.0,2.0,53.0,16.0,2,0,11.0,3.0,0,0,6.0,3,0,16.0,395.0,475.0,47.0
0,Spezia,P,0,Udinese,1,20.0,5.0,0,0,432.0,520.0,4.0,56.0,13.0,1,0,9.0,4.0,0,0,5.0,2,0,18.0,332.0,405.0,44.0
0,Sampdoria,N,2,Inter,2,14.0,2.0,0,0,360.0,455.0,4.0,52.0,14.0,4,0,8.0,3.0,0,0,4.0,4,0,14.0,318.0,418.0,48.0
0,Roma,V,2,Sassuolo,1,18.0,6.0,0,0,413.0,480.0,4.0,49.0,7.0,2,0,14.0,7.0,0,0,6.0,1,0,11.0,438.0,508.0,51.0
0,Milan,V,2,Lazio,0,20.0,3.0,0,1,416.0,503.0,5.0,47.0,12.0,1,0,8.0,5.0,0,0,1.0,4,0,19.0,488.0,570.0,53.0
0,Torino,V,4,Salernitana,0,15.0,5.0,0,0,453.0,544.0,7.0,60.0,11.0,0,0,8.0,2.0,0,0,4.0,2,0,11.0,263.0,367.0,40.0
0,Bologna,V,1,Hellas Verona,0,16.0,4.0,0,0,257.0,362.0,6.0,43.0,16.0,1,0,5.0,0.0,0,0,2.0,3,0,24.0,393.0,480.0,57.0
0,Sassuolo,P,0,Torino,1,10.0,2.0,0,0,390.0,485.0,6.0,52.0,9.0,0,0,18.0,3.0,0,0,3.0,4,0,24.0,361.0,445.0,48.0
0,Inter,V,6,Bologna,1,19.0,11.0,0,0,412.0,464.0,5.0,46.0,11.0,0,0,8.0,2.0,0,0,1.0,3,0,11.0,486.0,546.0,54.0
0,Genoa,P,1,Fiorentina,2,8.0,2.0,1,1,288.0,369.0,1.0,37.0,14.0,4,0,16.0,5.0,0,0,11.0,4,0,17.0,531.0,617.0,63.0
0,Salernitana,P,0,Atalanta,1,11.0,1.0,0,0,310.0,425.0,6.0,43.0,22.0,4,0,10.0,3.0,0,0,4.0,4,0,15.0,473.0,567.0,57.0
0,Lazio,N,2,Cagliari,2,28.0,10.0,0,0,646.0,748.0,10.0,72.0,5.0,1,0,10.0,3.0,0,0,1.0,3,1,13.0,198.0,296.0,28.0
0,Empoli,P,0,Sampdoria,3,15.0,4.0,0,0,349.0,456.0,8.0,53.0,11.0,2,0,14.0,8.0,0,0,8.0,2,0,15.0,294.0,400.0,47.0
0,Hellas Verona,V,3,Roma,2,10.0,6.0,0,0,367.0,468.0,3.0,53.0,18.0,4,0,15.0,2.0,0,0,8.0,2,0,17.0,294.0,410.0,47.0
0,Venezia,P,1,Spezia,2,14.0,3.0,0,0,320.0,425.0,3.0,45.0,15.0,4,0,12.0,3.0,0,0,10.0,1,0,11.0,403.0,522.0,55.0
0,Juventus,N,1,Milan,1,9.0,4.0,0,0,343.0,413.0,4.0,44.0,15.0,1,0,13.0,3.0,0,0,4.0,1,0,16.0,459.0,528.0,56.0
0,Udinese,P,0,Napoli,4,9.0,1.0,0,0,346.0,403.0,2.0,37.0,12.0,2,0,18.0,8.0,0,0,5.0,1,0,12.0,618.0,683.0,63.0
0,Fiorentina,P,1,Inter,3,14.0,6.0,0,0,452.0,530.0,4.0,53.0,13.0,2,1,17.0,5.0,0,0,8.0,3,0,17.0,400.0,472.0,47.0
0,Bologna,N,2,Genoa,2,16.0,4.0,1,1,471.0,567.0,6.0,59.0,15.0,3,0,10.0,5.0,1,1,2.0,4,0,19.0,292.0,392.0,41.0
0,Atalanta,V,2,Sassuolo,1,14.0,5.0,0,0,398.0,484.0,5.0,47.0,21.0,2,0,8.0,1.0,0,0,5.0,2,0,18.0,431.0,542.0,53.0
0,Salernitana,N,2,Hellas Verona,2,15.0,4.0,0,0,304.0,420.0,4.0,50.0,13.0,2,0,9.0,5.0,0,0,5.0,3,0,19.0,314.0,423.0,50.0
0,Cagliari,P,0,Empoli,2,15.0,1.0,0,0,376.0,489.0,7.0,49.0,15.0,2,0,18.0,5.0,0,0,4.0,1,0,14.0,394.0,499.0,51.0
0,Milan,V,2,Venezia,0,14.0,4.0,0,0,587.0,677.0,4.0,67.0,15.0,0,0,8.0,2.0,0,0,4.0,2,0,14.0,257.0,340.0,33.0
0,Spezia,P,2,Juventus,3,10.0,4.0,0,0,293.0,376.0,5.0,41.0,15.0,2,0,26.0,9.0,0,0,15.0,1,0,10.0,458.0,548.0,59.0
0,Torino,N,1,Lazio,1,16.0,5.0,0,0,313.0,416.0,6.0,45.0,21.0,3,0,5.0,1.0,1,1,5.0,3,0,9.0,378.0,499.0,55.0
0,Sampdoria,P,0,Napoli,4,13.0,5.0,0,0,414.0,509.0,5.0,48.0,11.0,2,0,17.0,9.0,0,0,5.0,1,0,8.0,481.0,552.0,52.0
0,Roma,V,1,Udinese,0,12.0,2.0,0,0,455.0,544.0,6.0,52.0,23.0,4,1,8.0,2.0,0,0,6.0,1,0,8.0,421.0,511.0,48.0
0,Genoa,N,3,Hellas Verona,3,10.0,3.0,1,1,351.0,464.0,3.0,49.0,15.0,3,0,11.0,6.0,1,1,2.0,1,0,15.0,358.0,475.0,51.0
0,Inter,N,2,Atalanta,2,17.0,6.0,0,1,337.0,430.0,4.0,50.0,16.0,3,0,21.0,5.0,0,0,11.0,5,0,12.0,351.0,429.0,50.0
0,Spezia,P,1,Milan,2,8.0,2.0,0,0,242.0,319.0,2.0,36.0,13.0,2,0,18.0,5.0,0,0,4.0,2,0,12.0,461.0,557.0,64.0
0,Napoli,V,2,Cagliari,0,16.0,6.0,1,1,696.0,766.0,6.0,67.0,11.0,2,0,6.0,0.0,0,0,4.0,1,0,13.0,297.0,375.0,33.0
0,Sassuolo,V,1,Salernitana,0,17.0,6.0,0,0,409.0,491.0,4.0,57.0,17.0,3,0,12.0,4.0,0,0,8.0,3,0,18.0,277.0,371.0,43.0
0,Lazio,V,3,Roma,2,10.0,4.0,0,0,406.0,475.0,1.0,50.0,16.0,2,0,19.0,6.0,1,1,9.0,4,0,14.0,409.0,481.0,50.0
0,Empoli,V,4,Bologna,2,14.0,6.0,1,1,219.0,299.0,2.0,37.0,16.0,2,0,20.0,5.0,0,1,10.0,2,0,22.0,420.0,500.0,63.0
0,Udinese,P,0,Fiorentina,1,12.0,5.0,0,0,423.0,506.0,4.0,46.0,17.0,2,0,7.0,1.0,1,1,1.0,3,0,14.0,518.0,599.0,54.0
0,Juventus,V,3,Sampdoria,2,15.0,5.0,1,1,387.0,478.0,4.0,50.0,24.0,4,0,6.0,3.0,0,0,2.0,3,0,18.0,391.0,487.0,50.0
0,Venezia,N,1,Torino,1,6.0,0.0,1,1,300.0,404.0,4.0,44.0,9.0,1,0,8.0,3.0,0,0,1.0,4,1,20.0,417.0,521.0,56.0
0,Cagliari,N,1,Venezia,1,9.0,3.0,0,0,310.0,401.0,2.0,42.0,16.0,2,0,12.0,4.0,0,0,4.0,5,0,20.0,455.0,548.0,58.0
0,Salernitana,V,1,Genoa,0,10.0,4.0,0,0,308.0,419.0,9.0,50.0,20.0,2,0,18.0,3.0,0,0,8.0,2,0,19.0,336.0,427.0,50.0
0,Sassuolo,P,1,Inter,2,11.0,7.0,1,1,432.0,524.0,6.0,55.0,11.0,4,0,16.0,2.0,1,1,8.0,2,0,21.0,348.0,436.0,45.0
0,Torino,P,0,Juventus,1,13.0,2.0,0,0,347.0,452.0,4.0,48.0,23.0,3,0,10.0,3.0,0,0,6.0,1,0,16.0,386.0,488.0,52.0
0,Roma,V,2,Empoli,0,18.0,5.0,0,0,580.0,644.0,5.0,64.0,13.0,2,0,12.0,3.0,0,0,5.0,3,0,17.0,304.0,368.0,36.0
0,Bologna,V,3,Lazio,0,10.0,3.0,0,0,378.0,462.0,3.0,41.0,7.0,2,0,8.0,4.0,0,0,3.0,5,1,18.0,570.0,665.0,59.0
0,Hellas Verona,V,4,Spezia,0,6.0,4.0,0,0,345.0,428.0,1.0,45.0,17.0,1,0,12.0,4.0,0,0,5.0,1,1,12.0,444.0,525.0,55.0
0,Fiorentina,P,1,Napoli,2,10.0,3.0,0,0,424.0,511.0,8.0,55.0,18.0,3,0,11.0,4.0,0,1,2.0,3,0,13.0,344.0,418.0,45.0
0,Atalanta,P,2,Milan,3,16.0,4.0,1,1,406.0,499.0,9.0,56.0,13.0,1,0,13.0,7.0,0,0,5.0,4,0,16.0,311.0,397.0,44.0
0,Sampdoria,N,3,Udinese,3,11.0,2.0,1,1,365.0,450.0,6.0,54.0,14.0,4,0,18.0,7.0,0,0,8.0,5,0,19.0,294.0,382.0,46.0
0,Spezia,V,2,Salernitana,1,18.0,5.0,0,0,384.0,505.0,10.0,59.0,16.0,2,0,15.0,4.0,0,0,2.0,3,0,17.0,244.0,352.0,41.0
0,Lazio,V,3,Inter,1,18.0,7.0,1,1,533.0,595.0,7.0,52.0,13.0,3,1,11.0,3.0,1,1,3.0,6,0,12.0,470.0,554.0,48.0
0,Milan,V,3,Hellas Verona,2,16.0,3.0,1,1,338.0,451.0,5.0,53.0,11.0,1,0,9.0,4.0,1,1,4.0,4,0,21.0,285.0,395.0,47.0
0,Napoli,V,1,Torino,0,10.0,2.0,0,1,333.0,440.0,3.0,51.0,6.0,2,0,11.0,3.0,0,0,4.0,4,0,25.0,306.0,418.0,49.0
0,Juventus,V,1,Roma,0,7.0,3.0,0,0,426.0,505.0,0.0,47.0,20.0,3,0,14.0,3.0,0,1,6.0,5,0,15.0,470.0,561.0,53.0
0,Genoa,N,2,Sassuolo,2,19.0,4.0,0,0,283.0,383.0,6.0,43.0,12.0,3,0,15.0,5.0,0,0,1.0,4,0,22.0,439.0,517.0,57.0
0,Empoli,P,1,Atalanta,4,13.0,4.0,0,0,355.0,459.0,5.0,48.0,11.0,3,0,21.0,7.0,0,1,4.0,2,0,17.0,401.0,490.0,52.0
0,Cagliari,V,3,Sampdoria,1,12.0,5.0,0,0,228.0,329.0,5.0,39.0,15.0,4,0,17.0,3.0,0,0,9.0,2,0,18.0,391.0,507.0,61.0
0,Udinese,N,1,Bologna,1,10.0,2.0,0,0,295.0,370.0,2.0,41.0,16.0,3,1,24.0,11.0,0,0,8.0,7,0,11.0,460.0,526.0,59.0
0,Venezia,V,1,Fiorentina,0,4.0,2.0,0,0,294.0,396.0,2.0,39.0,16.0,2,0,11.0,3.0,0,0,5.0,5,1,11.0,535.0,627.0,61.0
0,Sampdoria,V,2,Spezia,1,6.0,2.0,0,0,195.0,302.0,0.0,30.0,10.0,3,0,17.0,7.0,0,0,8.0,1,0,9.0,571.0,700.0,70.0
0,Torino,V,3,Genoa,2,17.0,6.0,0,0,377.0,491.0,2.0,58.0,19.0,2,0,14.0,4.0,0,0,4.0,3,0,24.0,236.0,354.0,42.0
0,Salernitana,P,2,Empoli,4,12.0,5.0,0,0,426.0,537.0,7.0,59.0,16.0,1,0,9.0,4.0,1,1,2.0,3,0,17.0,268.0,371.0,41.0
0,Sassuolo,V,3,Venezia,1,14.0,7.0,0,0,584.0,654.0,5.0,63.0,14.0,1,0,7.0,1.0,0,0,4.0,2,0,17.0,304.0,388.0,37.0
0,Bologna,P,2,Milan,4,9.0,4.0,0,0,305.0,382.0,4.0,38.0,9.0,1,2,15.0,7.0,0,0,1.0,3,0,17.0,561.0,636.0,62.0
0,Hellas Verona,V,4,Lazio,1,16.0,7.0,0,0,416.0,525.0,3.0,49.0,15.0,2,0,9.0,4.0,0,0,4.0,2,0,17.0,428.0,543.0,51.0
0,Roma,N,0,Napoli,0,13.0,1.0,0,0,277.0,352.0,7.0,38.0,14.0,4,0,11.0,2.0,0,0,4.0,1,0,10.0,485.0,568.0,62.0
0,Inter,N,1,Juventus,1,10.0,2.0,0,0,407.0,515.0,5.0,49.0,17.0,2,0,15.0,3.0,1,1,2.0,2,0,19.0,443.0,533.0,51.0
0,Atalanta,N,1,Udinese,1,8.0,3.0,0,0,582.0,683.0,6.0,67.0,16.0,2,0,9.0,3.0,0,0,3.0,2,0,17.0,239.0,333.0,33.0
0,Fiorentina,V,3,Cagliari,0,20.0,4.0,1,1,583.0,659.0,4.0,65.0,11.0,0,0,3.0,1.0,0,0,1.0,2,0,15.0,269.0,358.0,35.0
0,Venezia,P,1,Salernitana,2,8.0,4.0,0,0,347.0,441.0,4.0,45.0,19.0,3,1,21.0,7.0,0,0,5.0,3,0,16.0,440.0,535.0,55.0
0,Milan,V,1,Torino,0,10.0,2.0,0,0,316.0,412.0,2.0,44.0,15.0,3,0,13.0,2.0,0,0,5.0,3,0,22.0,415.0,519.0,56.0
0,Spezia,N,1,Genoa,1,13.0,3.0,0,0,319.0,436.0,3.0,47.0,15.0,2,0,8.0,1.0,1,1,3.0,4,0,17.0,368.0,493.0,53.0
0,Udinese,N,1,Hellas Verona,1,16.0,5.0,0,0,202.0,305.0,7.0,34.0,15.0,1,0,4.0,1.0,1,1,4.0,2,0,12.0,487.0,583.0,66.0
0,Juventus,P,1,Sassuolo,2,14.0,2.0,0,0,471.0,558.0,4.0,57.0,23.0,1,0,8.0,4.0,0,0,4.0,5,0,18.0,346.0,426.0,43.0
0,Lazio,V,1,Fiorentina,0,5.0,2.0,0,0,472.0,555.0,3.0,49.0,17.0,3,0,9.0,1.0,0,0,6.0,3,0,14.0,485.0,573.0,51.0
0,Sampdoria,P,1,Atalanta,3,8.0,3.0,0,0,282.0,414.0,3.0,40.0,16.0,4,0,13.0,4.0,0,0,3.0,3,0,19.0,499.0,611.0,60.0
0,Empoli,P,0,Inter,2,9.0,1.0,0,0,235.0,301.0,5.0,31.0,22.0,1,1,21.0,9.0,0,0,6.0,3,0,16.0,607.0,684.0,69.0
0,Cagliari,P,1,Roma,2,7.0,5.0,0,0,264.0,355.0,2.0,42.0,18.0,3,0,23.0,3.0,0,0,10.0,4,0,19.0,402.0,488.0,58.0
0,Napoli,V,3,Bologna,0,16.0,4.0,2,2,665.0,719.0,4.0,65.0,20.0,1,0,8.0,1.0,0,0,2.0,1,0,6.0,324.0,392.0,35.0
0,Torino,V,3,Sampdoria,0,16.0,5.0,0,0,515.0,620.0,4.0,63.0,20.0,2,0,5.0,1.0,0,0,5.0,4,1,10.0,238.0,359.0,37.0
0,Hellas Verona,V,2,Juventus,1,12.0,5.0,0,0,385.0,487.0,4.0,45.0,25.0,4,0,15.0,4.0,0,0,1.0,3,0,7.0,477.0,590.0,55.0
0,Atalanta,N,2,Lazio,2,17.0,3.0,0,0,531.0,634.0,6.0,56.0,14.0,1,0,8.0,5.0,0,0,2.0,3,0,15.0,395.0,489.0,44.0
0,Fiorentina,V,3,Spezia,0,26.0,11.0,1,1,419.0,491.0,7.0,55.0,10.0,4,0,3.0,0.0,0,0,4.0,3,0,23.0,334.0,403.0,45.0
0,Genoa,N,0,Venezia,0,19.0,4.0,0,0,404.0,537.0,12.0,62.0,16.0,1,0,6.0,2.0,0,0,4.0,3,0,16.0,235.0,328.0,38.0
0,Salernitana,P,0,Napoli,1,9.0,2.0,0,0,254.0,340.0,4.0,38.0,10.0,0,1,18.0,4.0,0,0,4.0,2,1,13.0,482.0,561.0,62.0
0,Inter,V,2,Udinese,0,15.0,5.0,0,0,592.0,668.0,6.0,66.0,11.0,0,0,9.0,5.0,0,0,4.0,2,0,16.0,267.0,350.0,34.0
0,Roma,P,1,Milan,2,24.0,6.0,0,0,351.0,425.0,5.0,50.0,23.0,4,0,7.0,2.0,1,1,2.0,7,1,14.0,357.0,431.0,50.0
0,Sassuolo,P,1,Empoli,2,15.0,5.0,0,0,471.0,549.0,4.0,57.0,20.0,4,0,13.0,4.0,1,1,6.0,2,0,15.0,323.0,418.0,43.0
0,Bologna,V,2,Cagliari,0,8.0,3.0,0,0,553.0,638.0,5.0,57.0,13.0,3,0,9.0,2.0,0,0,2.0,2,1,10.0,400.0,476.0,43.0
0,Empoli,N,2,Genoa,2,10.0,2.0,0,0,341.0,467.0,4.0,53.0,9.0,0,0,14.0,6.0,1,1,5.0,4,0,22.0,302.0,417.0,47.0
0,Cagliari,P,1,Atalanta,2,7.0,1.0,0,0,287.0,389.0,2.0,38.0,16.0,1,0,20.0,8.0,0,0,7.0,1,0,10.0,539.0,641.0,62.0
0,Juventus,V,1,Fiorentina,0,13.0,3.0,0,0,344.0,428.0,5.0,50.0,17.0,2,0,6.0,1.0,0,0,5.0,4,1,17.0,335.0,426.0,50.0
0,Spezia,V,1,Torino,0,7.0,3.0,0,0,255.0,360.0,2.0,41.0,16.0,3,0,10.0,1.0,0,0,3.0,3,0,19.0,420.0,522.0,59.0
0,Udinese,V,3,Sassuolo,2,13.0,2.0,0,0,285.0,378.0,1.0,38.0,14.0,3,1,10.0,4.0,0,0,5.0,3,0,15.0,513.0,616.0,62.0
0,Milan,N,1,Inter,1,16.0,4.0,0,0,356.0,436.0,4.0,51.0,17.0,1,0,12.0,0.0,1,2,8.0,0,0,11.0,333.0,426.0,49.0
0,Sampdoria,P,1,Bologna,2,10.0,4.0,0,0,317.0,455.0,6.0,47.0,16.0,4,0,14.0,6.0,0,0,5.0,1,0,14.0,410.0,516.0,53.0
0,Venezia,V,3,Roma,2,12.0,6.0,1,1,269.0,348.0,4.0,39.0,13.0,2,0,28.0,8.0,0,0,11.0,2,0,19.0,430.0,535.0,61.0
0,Lazio,V,3,Salernitana,0,17.0,5.0,0,0,640.0,712.0,5.0,60.0,8.0,1,0,5.0,0.0,0,0,1.0,2,0,14.0,404.0,476.0,40.0
0,Napoli,N,1,Hellas Verona,1,16.0,1.0,0,0,454.0,543.0,3.0,58.0,16.0,2,0,11.0,3.0,0,0,2.0,7,2,18.0,304.0,390.0,42.0
0,Fiorentina,V,4,Milan,3,9.0,5.0,0,0,361.0,449.0,5.0,45.0,7.0,1,0,16.0,6.0,0,0,6.0,1,0,13.0,452.0,542.0,55.0
0,Atalanta,V,5,Spezia,2,17.0,8.0,1,1,449.0,529.0,0.0,50.0,11.0,2,0,10.0,5.0,0,0,6.0,3,0,13.0,417.0,519.0,50.0
0,Lazio,P,0,Juventus,2,8.0,1.0,0,0,580.0,662.0,3.0,57.0,12.0,3,0,9.0,3.0,2,2,2.0,1,0,16.0,431.0,505.0,43.0
0,Sassuolo,N,2,Cagliari,2,19.0,3.0,1,1,469.0,545.0,6.0,58.0,13.0,1,0,10.0,3.0,1,1,5.0,2,0,11.0,297.0,392.0,42.0
